Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bolivia, La Paz",741,597,746,732,556,662,518,273,644,681
"Brazil, Rio de Janeiro","1,683","1,605","2,479","3,287","3,502","4,458","3,506","1,617","2,327","6,732"
"Canada, Montreal","4,929","3,666","5,108","5,379","5,524","4,417","4,327","1,922","3,270","5,706"
"Chile, Santiago",335,246,389,315,323,429,376,266,655,568
"Colombia, Bogota","7,900","6,403","7,351","7,548","6,812","10,475","6,489","2,933","6,041","11,478"
"Costa Rica, San Jose",543,458,710,745,800,866,729,435,638,848
"Cuba, Havana","4,827","5,992","6,201","9,072","9,752",29,no service,no service,no service,"2,097"
"Dominican Republic, Santo Domingo","33,049","37,146","45,069","54,376","49,575","51,289","38,203","19,327","17,908","33,320"
"Ecuador, Guayaquil","6,654","6,254","6,984","6,830","6,503","7,395","5,881","2,367","5,131","6,415"
"El Salvador, San Salvador","11,367","11,259","12,465","14,434","15,621","16,606","10,583","5,330","7,787","15,670"
"Guatemala, Guatemala","4,722","4,703","5,699","6,580","6,668","9,484","5,477","2,306","2,703","7,259"
"Guyana, Georgetown","4,572","4,567","4,561","4,779","4,096","7,672","11,202","5,381","5,382","22,320"
"Haiti, Port-au-Prince","14,938","10,596","13,049","18,581","16,419","15,002","5,991","2,295","3,556","4,699"
"Honduras, Tegucigalpa","5,084","3,585","4,728","7,411","5,136","7,167","6,003","2,206","3,156","7,563"
"Jamaica, Kingston","11,348","10,239","10,822","15,549","14,336","13,303","10,353","4,974","4,190","9,955"
"Mexico, Mexico City","3,395","3,906",341,no service,no service,no service,no service,no service,no service,3
Ciudad Juarez,"61,268","57,764","82,323","89,645","86,876","79,678","54,780","29,242","40,784","66,858"
"Nicaragua, Managua","1,788","1,559","2,099","2,070","2,075","1,972","2,248","1,077","3,199","1,974"
"Panama, Panama",451,424,466,430,471,536,449,190,537,465
"Paraguay, Asuncion",110,79,118,120,110,138,98,36,110,102
"Peru, Lima","5,124","4,067","5,406","5,906","4,942","5,693","4,711","1,879","1,713","4,403"
"Suriname, Paramaribo",2,no service,no service,no service,no service,no service,no service,no service,no service,no service
"Trinidad and Tobago, Port of Spain","1,514","1,133","1,320","1,397","1,285","1,417","1,242",479,803,"1,430"
"Uruguay, Montevideo",89,90,111,105,132,142,126,73,189,159
"Venezuela, Caracas","1,865","1,955","2,442","2,582","2,917","3,072",842,no service,no service,no service
Western Hemisphere Total,"191,199","180,733","223,766","260,922","247,341","245,080","176,966","85,948","113,769","213,702"
Grand Totals,"473,115","467,374","531,472","625,344","575,902","550,930","462,422","240,526","285,069","493,448"
