,Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
112,"Yemen, Sanaa",3.072,2.803,372.0,,,,,,,
113,Near East Total,31.614,31.032,27.884,38.169,32.337,26.625,26.964,17.222,20.727,41.947
115,"Afghanistan, Kabul",2.159,10.205,7.502,13.892,18.453,8.703,10.851,8.579,8.982,
116,"Bangladesh, Dhaka",10.568,11.898,13.878,17.211,12.766,15.179,12.573,6.162,5.311,9.074
117,"India, New Delhi",8.817,9.019,10.229,11.661,10.34,8.007,1.449,259.0,433.0,826.0
118,Mumbai,15.154,15.138,18.825,18.95,16.112,19.008,21.08,10.559,7.338,23.263
119,"Kazakhstan, Almaty",802.0,911.0,1.24,885.0,1.074,1.356,1.645,632.0,991.0,1.772
120,"Kyrgyzstan, Bishkek",,,,,300.0,528.0,469.0,182.0,585.0,1.601
121,"Nepal, Kathmandu",4.87,4.996,5.661,6.483,6.446,6.021,5.239,3.521,5.26,7.61
122,"Pakistan, Islamabad",8.622,13.898,14.017,15.008,11.975,10.939,8.338,5.098,6.739,8.665
123,"Sri Lanka, Colombo",644.0,685.0,666.0,876.0,683.0,793.0,718.0,483.0,702.0,1.372
124,"Turkmenistan, Ashgabat",76.0,126.0,104.0,88.0,111.0,167.0,173.0,75.0,250.0,563.0
125,"Uzbekistan, Tashkent",3.727,3.59,3.198,3.274,3.999,2.802,1.494,504.0,419.0,4.798
126,South and Central Asia Total,55.439,70.466,75.32,88.328,82.259,73.503,64.029,36.054,37.01,59.544
128,"Argentina, Buenos Aires",478.0,496.0,614.0,685.0,497.0,638.0,623.0,308.0,636.0,1.047
129,"Bahamas, Nassau",203.0,206.0,257.0,281.0,348.0,313.0,289.0,145.0,527.0,304.0
130,"Barbados, Bridgetown",1.899,1.496,1.597,1.722,1.789,1.944,1.614,724.0,1.554,1.424
131,"Belize, Belmopan",321.0,242.0,311.0,361.0,276.0,283.0,306.0,163.0,329.0,222.0
132,"Bolivia, La Paz",741.0,597.0,746.0,732.0,556.0,662.0,518.0,273.0,644.0,681.0
133,"Brazil, Rio de Janeiro",1.683,1.605,2.479,3.287,3.502,4.458,3.506,1.617,2.327,6.732
134,"Canada, Montreal",4.929,3.666,5.108,5.379,5.524,4.417,4.327,1.922,3.27,5.706
135,"Chile, Santiago",335.0,246.0,389.0,315.0,323.0,429.0,376.0,266.0,655.0,568.0
136,"Colombia, Bogota",7.9,6.403,7.351,7.548,6.812,10.475,6.489,2.933,6.041,11.478
137,"Costa Rica, San Jose",543.0,458.0,710.0,745.0,800.0,866.0,729.0,435.0,638.0,848.0
138,"Cuba, Havana",4.827,5.992,6.201,9.072,9.752,29.0,,,,2.097
139,"Dominican Republic, Santo Domingo",33.049,37.146,45.069,54.376,49.575,51.289,38.203,19.327,17.908,33.32
140,"Ecuador, Guayaquil",6.654,6.254,6.984,6.83,6.503,7.395,5.881,2.367,5.131,6.415
141,"El Salvador, San Salvador",11.367,11.259,12.465,14.434,15.621,16.606,10.583,5.33,7.787,15.67
142,"Guatemala, Guatemala",4.722,4.703,5.699,6.58,6.668,9.484,5.477,2.306,2.703,7.259
143,"Guyana, Georgetown",4.572,4.567,4.561,4.779,4.096,7.672,11.202,5.381,5.382,22.32
144,"Haiti, Port-au-Prince",14.938,10.596,13.049,18.581,16.419,15.002,5.991,2.295,3.556,4.699
145,"Honduras, Tegucigalpa",5.084,3.585,4.728,7.411,5.136,7.167,6.003,2.206,3.156,7.563
146,"Jamaica, Kingston",11.348,10.239,10.822,15.549,14.336,13.303,10.353,4.974,4.19,9.955
147,"Mexico, Mexico City",3.395,3.906,341.0,,,,,,,3.0
148,Ciudad Juarez,61.268,57.764,82.323,89.645,86.876,79.678,54.78,29.242,40.784,66.858
149,"Nicaragua, Managua",1.788,1.559,2.099,2.07,2.075,1.972,2.248,1.077,3.199,1.974
150,"Panama, Panama",451.0,424.0,466.0,430.0,471.0,536.0,449.0,190.0,537.0,465.0
151,"Paraguay, Asuncion",110.0,79.0,118.0,120.0,110.0,138.0,98.0,36.0,110.0,102.0
152,"Peru, Lima",5.124,4.067,5.406,5.906,4.942,5.693,4.711,1.879,1.713,4.403
153,"Suriname, Paramaribo",2.0,,,,,,,,,
154,"Trinidad and Tobago, Port of Spain",1.514,1.133,1.32,1.397,1.285,1.417,1.242,479.0,803.0,1.43
155,"Uruguay, Montevideo",89.0,90.0,111.0,105.0,132.0,142.0,126.0,73.0,189.0,159.0
156,"Venezuela, Caracas",1.865,1.955,2.442,2.582,2.917,3.072,842.0,,,
157,Western Hemisphere Total,191.199,180.733,223.766,260.922,247.341,245.08,176.966,85.948,113.769,213.702
158,Grand Totals,473.115,467.374,531.472,625.344,575.902,550.93,462.422,240.526,285.069,493.448
