Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Niger,"1,583","1,566","1,759","1,953","2,054","1,909","1,822",724,415,"1,172"
Nigeria,"157,509","197,750","214,519","216,111","215,801","221,819","181,000","64,728","41,325","78,104"
North Macedonia,"9,436","9,855","10,321","10,818","11,979","12,307","12,236","5,058","3,073","6,980"
Norway,"320,842","345,156","336,555","303,526","319,594","306,062","291,979","110,891","11,261","129,026"
Oman,"7,794","10,717","11,419","11,430","10,331","10,866","10,738","5,570","3,532","6,156"
Pakistan,"78,246","102,953","119,644","137,567","124,800","129,736","124,207","56,729","48,462","90,926"
Palau,136,90,160,137,91,171,164,47,0,27
Panama,"143,365","153,115","162,027","173,906","162,076","163,848","177,548","85,466","75,465","125,206"
Papua New Guinea,"1,301","1,438","1,939","1,507","1,122","1,022","1,393",465,142,681
Paraguay,"27,498","31,410","32,942","33,663","32,283","36,127","34,900","14,155","29,016","21,653"
Peru,"261,827","292,752","320,007","344,978","342,442","347,186","371,948","182,868","322,114","351,278"
Philippines,"358,961","404,566","420,917","451,332","485,524","498,980","514,858","235,866","113,585","285,447"
Poland,"168,854","207,179","217,453","230,781","242,920","265,052","276,937","128,063","24,492","239,157"
Portugal,"174,757","194,054","190,056","193,066","204,627","226,500","229,025","97,082","18,375","151,793"
Qatar,"15,894","18,740","20,194","19,961","16,352","16,779","16,722","6,649","8,682","12,113"
Romania,"82,238","94,041","96,349","103,562","108,786","117,798","126,038","55,284","24,788","67,400"
Russia,"364,116","413,011","323,435","317,538","344,368","290,901","301,321","145,050","80,961","73,010"
Rwanda,"4,074","5,039","5,065","6,174","5,883","6,963","7,908","3,067","2,733","4,958"
Saint Kitts and Nevis,"11,559","12,449","12,950","13,011","13,101","12,936","14,366","5,679","2,111","7,460"
Saint Lucia,"15,959","16,922","17,859","19,565","18,635","18,814","20,787","8,121","5,771","12,858"
Saint Vincent and the Grenadines,"12,204","12,371","12,562","12,639","12,368","12,374","13,529","5,741","3,421","8,025"
Samoa,"2,021","2,137","2,413","2,576","2,459","2,800","3,006","1,360",514,"1,236"
San Marino,745,787,912,768,751,807,775,311,47,281
Sao Tome and Principe,77,120,106,89,99,94,75,22,11,36
Saudi Arabia,"232,782","291,715","306,182","264,698","190,983","182,445","167,228","52,729","42,012","73,984"
Senegal,"10,518","11,390","10,796","11,320","11,287","10,438","11,708","5,096","4,706","8,380"
Serbia and Montenegro (former),"3,376","7,336","40,528","41,320","35,279","20,031","18,541","6,474",0,0
Seychelles,429,480,508,529,465,498,472,178,73,247
Sierra Leone,"3,188","3,547","3,288","3,303","3,878","3,527","3,603","1,334","1,235","3,505"
Singapore,"162,922","168,686","163,668","160,186","161,433","166,194","178,159","77,300","11,164","84,689"
Slovakia,"49,173","54,303","55,113","58,577","61,425","63,839","69,661","26,035","4,090","37,893"
Slovenia,"22,977","26,152","27,977","28,326","29,360","30,969","34,132","15,586","2,736","16,990"
Solomon Islands,411,342,307,506,335,318,318,136,21,221
Somalia,215,343,359,441,321,240,154,80,144,207
South Africa,"135,400","148,243","153,290","150,967","155,696","168,289","167,393","80,683","29,047","93,345"
South Sudan,NA,528,541,487,495,641,668,217,178,421
Spain,"934,322","1,044,430","1,052,251","1,116,186","1,143,548","1,213,431","1,256,743","507,711","185,244","885,632"
Sri Lanka,"23,015","26,816","27,954","29,591","31,478","30,584","28,436","10,748","4,994","15,781"
Sudan,"3,196","4,474","4,792","6,409","4,425","4,663","4,468","1,844",959,"2,520"
Suriname,"12,618","13,316","14,971","13,259","13,624","13,178","14,487","5,207","3,235","16,294"
Sweden,"551,820","614,592","623,935","622,710","607,993","582,603","517,617","228,446","19,180","227,512"
Switzerland,"472,914","494,892","484,475","478,886","459,938","445,323","427,963","164,729","29,885","241,074"
Syria,"15,004","17,187","16,010","13,575","9,954","6,349","3,746","1,471",881,"3,227"
Taiwan,"444,046","484,849","487,570","515,978","524,357","539,788","539,980","213,759","49,729","118,107"
Tajikistan,"1,709","1,836","1,999","2,307","2,394","2,196","2,100",860,599,"1,670"
Tanzania,"7,635","8,665","9,677","8,683","8,074","8,535","8,405","3,251","1,695","6,084"
Thailand,"109,761","120,540","116,992","122,840","124,577","127,783","130,777","46,974","21,097","67,607"
Timor-Leste,34,226,232,244,238,212,279,107,50,228
Togo,"2,186","2,560","2,671","3,044","3,120","3,129","3,338","1,347",830,"1,570"
Tonga,"2,202","2,561","3,417","4,497","4,276","3,453","3,717","1,585",108,"1,007"
Trinidad and Tobago,"164,705","174,506","189,641","197,990","195,355","191,501","210,051","87,671","16,410","113,303"
Tunisia,"11,287","13,467","13,523","15,169","14,633","14,624","15,308","6,598","3,794","10,955"
Turkey,"192,113","214,958","226,665","243,688","220,195","205,199","202,923","95,838","63,489","136,588"
Turkmenistan,"1,345","1,777","1,691","1,614","1,791","1,575","1,355",574,105,735
Tuvalu,151,182,167,203,168,189,183,71,0,83
Uganda,"9,398","10,308","11,222","11,536","12,914","14,693","15,022","5,785","2,758","7,058"
Ukraine,"87,913","100,877","118,352","127,667","130,093","129,239","129,987","68,249","49,873","79,943"
United Arab Emirates,"28,897","38,542","40,507","41,204","36,630","39,231","40,066","15,180","13,535","25,008"
United Kingdom,"4,566,669","4,814,079","4,968,049","5,210,880","5,076,167","5,162,089","5,305,437","2,169,835","212,084","3,090,439"
Uruguay,"70,535","80,666","81,603","87,420","85,291","90,563","85,122","30,180","21,390","55,048"
Uzbekistan,"9,930","10,000","11,988","12,414","14,049","12,628","10,929","3,555","1,414","9,174"
Vanuatu,203,208,236,266,245,233,230,98,16,177
Venezuela,"815,797","774,782","643,784","645,928","583,196","546,021","496,123","187,870","204,910","250,234"
Vietnam,"73,913","93,986","114,572","121,336","134,687","137,360","143,700","53,565","12,490","59,658"
Yemen,"3,904","5,896","5,549","5,679","3,839","1,868","1,530",773,809,"2,096"
Zambia,"4,887","5,441","5,627","5,430","6,071","5,928","5,597","2,312","1,243","3,809"
Zimbabwe,"8,738","10,048","10,754","10,918","11,791","12,396","13,346","5,327","2,700","9,247"
Unknown,"164,788","25,716","51,469","161,456","95,266","85,694","85,917","42,738","28,396","60,760"
