Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,"1,832,703","1,961,928","1,755,139","1,744,716","1,935,156","2,108,150","2,174,749","901,845","91,237","1,345,308"
French Guiana,"1,132","1,512","1,483","1,058",943,"1,632","2,415",746,42,911
French Polynesia,"7,005","6,275","5,743","4,084","2,107","5,552","10,561","4,646",538,"12,385"
Gabon,"2,697","3,122","3,241","3,216","2,508","2,338","2,767","1,181",648,"1,632"
Gambia,"2,261","2,412","2,036","2,037","1,667","1,816","2,163",979,794,"1,623"
Georgia,"6,475","9,181","11,020","9,359","5,449","9,046","12,996","5,892","4,875","8,918"
Germany,"2,256,662","2,273,054","2,010,524","2,116,152","2,255,447","2,318,139","2,256,706","914,392","117,373","1,352,761"
Ghana,"24,442","26,657","25,408","26,467","21,148","26,253","34,780","12,864","11,209","25,934"
Gibraltar,"1,429","1,472","1,454","1,450",975,"1,577","1,915",731,70,"1,198"
Greece,"70,176","77,719","72,911","82,617","89,572","94,907","95,040","45,792","10,228","61,756"
Greenland,207,201,174,196,151,217,230,83,18,104
Grenada,"9,623","10,290","11,824","12,074","10,655","9,811","13,436","5,312","3,723","8,994"
Guadeloupe,"7,461","3,897","5,954","6,282","4,127","8,199","11,401","3,544","1,801","5,183"
Guam,"3,972","2,923","2,634","2,793","3,212","4,577","4,813","2,396",59,462
Guatemala,"226,114","253,527","256,829","290,151","279,114","272,923","325,456","159,177","227,945","284,021"
Guernsey,NA,D,56,58,58,61,74,D,D,109
Guinea,"2,092","2,671","2,612","3,304","2,844","2,351","2,858","1,106",573,"1,512"
Guinea-Bissau,130,270,306,254,303,283,338,133,135,282
Guyana,"33,407","40,085","53,012","65,697","42,079","40,021","55,789","19,837","32,923","49,048"
Haiti,"99,385","117,387","130,071","153,411","126,002","95,157","132,437","59,892","65,461","55,525"
